Woonplaatsen;Gemeente
Jisp;Wormerland
Jistrum;Tytsjerksteradiel
Jonkerslân;Opsterland
Jonkersvaart;Westerkwartier
Joppe;Lochem
Jorwert;Leeuwarden
Joure;DeFryskeMarren
Jouswier;Noardeast-Fryslân
Jubbega;Heerenveen
Julianadorp;DenHelder
Jutrijp;Súdwest-Fryslân
Kaag;KaagenBraassem
Kaard;Terschelling
Kaatsheuvel;LoonopZand
Kalenberg;Steenwijkerland
Kallenkote;Steenwijkerland
Kamerik;Woerden
Kampen;Kampen
Kamperland;Noord-Beveland
Kamperveen;Kampen
Kantens;HetHogeland
Kapel Avezaath;Tiel
Kapel-Avezaath;Buren
Kapelle;Kapelle
Kapellebrug;Hulst
Katlijk;Heerenveen
Kats;Noord-Beveland
Kattendijke;Goes
Katwijk;Katwijk
Katwijk NB;Cuijk
Katwoude;Waterland
Kedichem;Vijfheerenlanden
Keent;Oss
Keijenborg;Bronckhorst
Kekerdom;BergenDal
Kelpen-Oler;Leudal
Kerk Avezaath;Tiel
Kerk-Avezaath;Buren
Kerkdriel;Maasdriel
Kerkenveld;DeWolden
Kerkrade;Kerkrade
Kerkwerve;Schouwen-Duiveland
Kerkwijk;Zaltbommel
Kessel;PeelenMaas
Kesteren;Neder-Betuwe
De Kiel;Coevorden
Kiel-Windeweer;Midden-Groningen
Kilder;Montferland
Kimswerd;Súdwest-Fryslân
Kinderdijk;Molenlanden
Kinnum;Terschelling
Klaaswaal;HoekscheWaard
Klarenbeek;Voorst
Klarenbeek;Apeldoorn
Klazienaveen;Emmen
Klazienaveen-Noord;Emmen
Klein Zundert;Zundert
Klijndijk;Borger-Odoorn
Klimmen;Voerendaal
Kloetinge;Kapelle
Kloetinge;Goes
De Klomp;Ede
Klooster Lidlum;Waadhoeke
Kloosterburen;HetHogeland
Kloosterhaar;Hardenberg
Kloosterhaar;Twenterand
Kloosterzande;Hulst
Klundert;Moerdijk
Knegsel;Eersel
De Knipe;Heerenveen
Koarnjum;Leeuwarden
Kockengen;StichtseVecht
Koedijk;Langedijk
Koedijk;Alkmaar
Koekange;DeWolden
Koewacht;Terneuzen
Kolderwolde;DeFryskeMarren
Kolham;Midden-Groningen
Kolhorn;HollandsKroon
Kollum;Noardeast-Fryslân
Kollumerpomp;Noardeast-Fryslân
Kollumerzwaag;Noardeast-Fryslân
Kommerzijl;Westerkwartier
Koningsbosch;Echt-Susteren
Koningslust;PeelenMaas
De Koog;Texel
Koog aan de Zaan;Zaanstad
Kootstertille;Achtkarspelen
Kootwijk;Barneveld
Kootwijkerbroek;Barneveld
Kornhorn;Westerkwartier
Kornwerderzand;Súdwest-Fryslân
Kortehemmen;Smallingerland
Kortenhoef;Wijdemeren
Kortgene;Noord-Beveland
Koudekerk aan den Rijn;AlphenaandenRijn
Koudekerke;Veere
Koudum;Súdwest-Fryslân
Koufurderrige;Súdwest-Fryslân
Krabbendijke;Reimerswaal
Kraggenburg;Noordoostpolder
Kreileroord;HollandsKroon
Krewerd;Delfzijl
De Krim;Hardenberg
Krimpen aan de Lek;Krimpenerwaard
Krimpen aan den IJssel;KrimpenaandenIJssel
Kring van Dorth;Lochem
Krommenie;Zaanstad
Kronenberg;HorstaandeMaas
Kropswolde;Midden-Groningen
Kruiningen;Reimerswaal
Kruisland;Steenbergen
Kûbaard;Súdwest-Fryslân
Kudelstaart;Aalsmeer
Kuinre;Steenwijkerland
Kuitaart;Hulst
Kwadendamme;Borsele
Kwadijk;Edam-Volendam
De Kwakel;Uithoorn
Kwintsheul;Westland
Laag Zuthem;Raalte
Laag-Keppel;Bronckhorst
Laag-Soeren;Rheden
Lage Mierde;Reusel-DeMierden
Lage Vuursche;Baarn
Lage Zwaluwe;Drimmelen
Lageland;Midden-Groningen
Lageland GN;Groningen
Lambertschaag;Medemblik
Lamswaarde;Hulst
Landerum;Terschelling
Landgraaf;Landgraaf
Landhorst;SintAnthonis
Landsmeer;Landsmeer
Langbroek;WijkbijDuurstede
Langedijke;Ooststellingwerf
Langelille;Weststellingwerf
Langelo;Noordenveld
Langenboom;MillenSintHubert
Langerak;Molenlanden
Langeveen;Tubbergen
Langeweg;Moerdijk
Langezwaag;Opsterland
Langweer;DeFryskeMarren
Laren;Lochem
Laren;Laren
Lathum;Zevenaar
Lattrop-Breklenkamp;Dinkelland
Lauwersoog;HetHogeland
Lauwerzijl;Westerkwartier
Ledeacker;SintAnthonis
Leek;Westerkwartier
Leende;Heeze-Leende
Leens;HetHogeland
Leerbroek;Vijfheerenlanden
Leerdam;Vijfheerenlanden
Leermens;Loppersum
Leersum;UtrechtseHeuvelrug
Leeuwarden;Leeuwarden
Legemeer;DeFryskeMarren
Leiden;Leiden
Leiderdorp;Leiderdorp
Leidschendam;Leidschendam-Voorburg
Leimuiden;KaagenBraassem
Leimuiderbrug;Haarlemmermeer
Lekkerkerk;Krimpenerwaard
Lekkum;Leeuwarden
Lellens;Groningen
Lelystad;Lelystad
Lemele;Ommen
Lemelerveld;Dalfsen
Lemiers;Vaals
Lemmer;DeFryskeMarren
Lengel;Montferland
Lent;Nijmegen
Leons;Leeuwarden
Lepelstraat;BergenopZoom
Lettelbert;Westerkwartier
Lettele;Deventer
Leunen;Venray
Leur;Wijchen
Leusden;Leusden
Leuth;BergenDal
Leutingewolde;Noordenveld
Leuvenheim;Brummen
Leveroy;Nederweert
Lewedorp;Borsele
Lexmond;Vijfheerenlanden
Lichtaard;Noardeast-Fryslân
Lichtenvoorde;OostGelre
Liempde;Boxtel
Lienden;Buren
De Lier;Westland
Lierderholthuis;Raalte
Lieren;Apeldoorn
Lierop;Someren
Lies;Terschelling
Lieshout;Laarbeek
Liessel;Deurne
Lievelde;OostGelre
Lieveren;Noordenveld
Lijnden;Haarlemmermeer
Limbricht;Sittard-Geleen
Limmen;Castricum
Linde;DeWolden
Linden;Cuijk
Linne;Maasgouw
Linschoten;Montfoort
Lioessens;Noardeast-Fryslân
Lippenhuizen;Opsterland
Lisse;Lisse
Lisserbroek;Haarlemmermeer
Lith;Oss
Lithoijen;Oss
Lobith;Zevenaar
Lochem;Lochem
Loenen;Apeldoorn
Loenen aan de Vecht;StichtseVecht
Loenersloot;StichtseVecht
Loënga;Súdwest-Fryslân
Loerbeek;Montferland
Lollum;Súdwest-Fryslân
Lomm;Venlo
Longerhouw;Súdwest-Fryslân
Loo Gld;Duiven
Loo Gld;Lingewaard
't Loo Oldebroek;Oldebroek
Loon;Assen
Loon op Zand;LoonopZand
Loosbroek;Bernheze
Loosdrecht;Wijdemeren
Loozen;Hardenberg
Lopik;Lopik
Lopikerkapel;Lopik
Loppersum;Loppersum
Losdorp;Delfzijl
Losser;Losser
Lottum;HorstaandeMaas
Lucaswolde;Westerkwartier
Luddeweer;Midden-Groningen
Luinjeberd;Heerenveen
Lunteren;Ede
Lutjebroek;StedeBroec
Lutjegast;Westerkwartier
Lutjewinkel;HollandsKroon
de Lutte;Losser
Luttelgeest;Noordoostpolder
Lutten;Hardenberg
Luttenberg;Raalte
Luxwoude;Opsterland
Luyksgestel;Bergeijk
Lytsewierrum;Súdwest-Fryslân
Maarheeze;Cranendonck
Maarn;UtrechtseHeuvelrug
Maarsbergen;UtrechtseHeuvelrug
Maarssen;StichtseVecht
Maartensdijk;DeBilt
Maasbommel;WestMaasenWaal
Maasbracht;Maasgouw
Maasbree;PeelenMaas
Maasdam;HoekscheWaard
Maasdijk;Westland
Maashees;Boxmeer
Maasland;Midden-Delfland
Maassluis;Maassluis
Maastricht;Maastricht
Maastricht-Airport;Beek
Maasvlakte Rotterdam;Rotterdam
Macharen;Oss
Made;Drimmelen
Makkinga;Ooststellingwerf
Makkum;Súdwest-Fryslân
Malden;Heumen
Mander;Tubbergen
Manderveen;Tubbergen
Mantgum;Leeuwarden
Mantinge;Midden-Drenthe
Maren-Kessel;Oss
Margraten;Eijsden-Margraten
Maria Hoop;Echt-Susteren
Mariahout;Laarbeek
Mariaparochie;Tubbergen
Mariënberg;Hardenberg
Mariënheem;Raalte
Mariënvelde;OostGelre
Marijenkampen;Steenwijkerland
Markelo;HofvanTwente
Marken;Waterland
Markenbinnen;Alkmaar
Marknesse;Noordoostpolder
Marle;Olst-Wijhe
Marrum;Noardeast-Fryslân
Marsum;Waadhoeke
Marum;Westerkwartier
Marwijksoord;AaenHunze
Mastenbroek;Zwartewaterland
Mastenbroek;Kampen
Matsloot;Noordenveld
Maurik;Buren
Mechelen;Gulpen-Wittem
Medemblik;Medemblik
Meeden;Midden-Groningen
Meedhuizen;Delfzijl
Meerkerk;Vijfheerenlanden
Meerlo;HorstaandeMaas
De Meern;Utrecht
Meerssen;Meerssen
Meerstad;Groningen
Meeuwen;Altena
Megchelen;OudeIJsselstreek
Megen;Oss
Meijel;PeelenMaas
Melderslo;HorstaandeMaas
Melick;Roerdalen
Meliskerke;Veere
Melissant;Goeree-Overflakkee
Menaam;Waadhoeke
Mensingeweer;HetHogeland
Meppel;Meppel
Meppen;Coevorden
Merkelbeek;Beekdaelen
Merselo;Venray
Meteren;WestBetuwe
Meterik;HorstaandeMaas
Metslawier;Noardeast-Fryslân
Mheer;Eijsden-Margraten
Middelaar;MookenMiddelaar
Middelburg;Middelburg
Middelharnis;Goeree-Overflakkee
Middelie;Edam-Volendam
Middelstum;Loppersum
Middenbeemster;Beemster
Middenmeer;HollandsKroon
Midlaren;Tynaarlo
Midlum;Harlingen
Midsland;Terschelling
Midwolda;Oldambt
Midwolde;Westerkwartier
Midwoud;Medemblik
Miedum;Leeuwarden
Mierlo;Geldrop-Mierlo
Mijdrecht;DeRondeVenen
Mijnsheerenland;HoekscheWaard
Mildam;Heerenveen
Milheeze;Gemert-Bakel
Mill;MillenSintHubert
Millingen aan de Rijn;BergenDal
Milsbeek;Gennep
Minnertsga;Waadhoeke
Mirns;DeFryskeMarren
Moddergat;Noardeast-Fryslân
De Moer;LoonopZand
Moerdijk;Moerdijk
Moergestel;Oisterwijk
Moerkapelle;Zuidplas
Moerstraten;Roosendaal
Molenaarsgraaf;Molenlanden
Molenhoek;MookenMiddelaar
Molenschot;GilzeenRijen
Molkwerum;Súdwest-Fryslân
Monnickendam;Waterland
Monster;Westland
Montfoort;Montfoort
Montfort;Roerdalen
Mook;MookenMiddelaar
Mookhoek;HoekscheWaard
Moordrecht;Zuidplas
Moorveld;Meerssen
Morra;Noardeast-Fryslân
De Mortel;Gemert-Bakel
Muiden;GooiseMeren
Muiderberg;GooiseMeren
Mûnein;Tytsjerksteradiel
Munnekeburen;Weststellingwerf
Munnekezijl;Noardeast-Fryslân
Munstergeleen;Sittard-Geleen
Muntendam;Midden-Groningen
Mussel;Stadskanaal
Musselkanaal;Stadskanaal
Naaldwijk;Westland
Naarden;GooiseMeren
Nagele;Noordoostpolder
Nederasselt;Heumen
Nederhemert;Zaltbommel
Nederhorst den Berg;Wijdemeren
Nederland;Steenwijkerland
Nederweert;Nederweert
Nederweert-Eind;Nederweert
Neede;Berkelland
Neer;Leudal
Neerijnen;WestBetuwe
Neeritter;Leudal
Neerkant;Deurne
Neerlangel;Oss
Neerloon;Oss
Nes;Heerenveen
Nes;Ameland
Nes;Noardeast-Fryslân
Netersel;Bladel
Netterden;OudeIJsselstreek
Niawier;Noardeast-Fryslân
Nibbixwoud;Medemblik
Niebert;Westerkwartier
Niehove;Westerkwartier
Niekerk;Westerkwartier
Niekerk;HetHogeland
Nietap;Noordenveld
Nieuw Annerveen;AaenHunze
Nieuw Beerta;Oldambt
Nieuw- en Sint Joosland;Middelburg
Nieuw Heeten;Raalte
Nieuw Namen;Hulst
Nieuw Scheemda;Oldambt
Nieuwaal;Zaltbommel
Nieuw-Amsterdam;Emmen
Nieuw-Balinge;Midden-Drenthe
Nieuw-Beijerland;HoekscheWaard
Nieuw-Buinen;Borger-Odoorn
Nieuw-Dordrecht;Emmen
Nieuwdorp;Borsele
Nieuwe Niedorp;HollandsKroon
Nieuwe Pekela;Pekela
Nieuwe Wetering;KaagenBraassem
Nieuwebrug;Heerenveen
Nieuwediep;AaenHunze
Nieuwegein;Nieuwegein
Nieuwehorne;Heerenveen
Nieuwendijk;Altena
Nieuwer Ter Aa;StichtseVecht
Nieuwerbrug aan den Rijn;Bodegraven-Reeuwijk
Nieuwerkerk;Schouwen-Duiveland
Nieuwerkerk aan den IJssel;Zuidplas
Nieuweroord;Hoogeveen
Nieuweroord;Midden-Drenthe
Nieuwersluis;StichtseVecht
Nieuweschoot;Heerenveen
Nieuwe-Tonge;Goeree-Overflakkee
Nieuwkoop;Nieuwkoop
Nieuwkuijk;Heusden
Nieuwland;Vijfheerenlanden
Nieuwlande;Hoogeveen
Nieuwlande Coevorden;Coevorden
Nieuw-Lekkerland;Molenlanden
Nieuwleusen;Dalfsen
Nieuwolda;Oldambt
Nieuwpoort;Molenlanden
Nieuw-Roden;Noordenveld
Nieuw-Schoonebeek;Emmen
Nieuwstadt;Echt-Susteren
Nieuwveen;Nieuwkoop
Nieuw-Vennep;Haarlemmermeer
Nieuwvliet;Sluis
Nieuw-Vossemeer;Steenbergen
Nieuw-Weerdinge;Emmen
Niezijl;Westerkwartier
Niftrik;Wijchen
Nigtevecht;StichtseVecht
Nij Altoenae;Waadhoeke
Nij Beets;Opsterland
Nijbroek;Voorst
Nijeberkoop;Ooststellingwerf
Nijega;Smallingerland
Nijehaske;DeFryskeMarren
Nijeholtpade;Weststellingwerf
Nijeholtwolde;Weststellingwerf
Nijelamer;Weststellingwerf
Nijemirdum;DeFryskeMarren
Nijensleek;Westerveld
Nijetrijne;Weststellingwerf
Nijeveen;Meppel
Nijhuizum;Súdwest-Fryslân
Nijkerk;Nijkerk
Nijkerkerveen;Nijkerk
Nijland;Súdwest-Fryslân
Nijlande;AaenHunze
Nijmegen;Nijmegen
Nijverdal;Hellendoorn
Nispen;Roosendaal
Nisse;Borsele
Nistelrode;Bernheze
Noardburgum;Tytsjerksteradiel
Nooitgedacht;AaenHunze
Noorbeek;Eijsden-Margraten
Noordbeemster;Beemster
Noordbroek;Midden-Groningen
Noordeinde;Alkmaar
Noordeinde Gld;Oldebroek
Noordeloos;Molenlanden
Noorden;Nieuwkoop
Noordgouwe;Schouwen-Duiveland
Noordhoek;Moerdijk
Noordhorn;Westerkwartier
Noordlaren;Groningen
Noord-Scharwoude;Langedijk
Noordscheschut;Hoogeveen
Noord-Sleen;Coevorden
Noordwelle;Schouwen-Duiveland
Noordwijk;Westerkwartier
Noordwijk;Noordwijk
Noordwijkerhout;Noordwijk
Noordwolde;HetHogeland
Noordwolde;Weststellingwerf
Nootdorp;Pijnacker-Nootdorp
Norg;Noordenveld
Notter;Wierden
Nuenen;Nuenen,GerwenenNederwetten
Nuis;Westerkwartier
Nuland;'s-Hertogenbosch
Numansdorp;HoekscheWaard
Nunhem;Leudal
Nunspeet;Nunspeet
Nuth;Beekdaelen
Nutter;Dinkelland
Obbicht;Sittard-Geleen
Obdam;Koggenland
Ochten;Neder-Betuwe
Odijk;Bunnik
Odiliapeel;Uden
Odoorn;Borger-Odoorn
Odoornerveen;Borger-Odoorn
Oeffelt;Boxmeer
Oegstgeest;Oegstgeest
Oene;Epe
Oentsjerk;Tytsjerksteradiel
Den Oever;HollandsKroon
Offingawier;Súdwest-Fryslân
Ohé en Laak;Maasgouw
Oijen;Oss
Oirlo;Venray
Oirsbeek;Beekdaelen
Oirschot;Oirschot
Oisterwijk;Oisterwijk
Okkenbroek;Deventer
Olburgen;Bronckhorst
Oldeberkoop;Ooststellingwerf
Oldebroek;Oldebroek
Oldeholtpade;Weststellingwerf
Oldeholtwolde;Weststellingwerf
Oldehove;Westerkwartier
Oldekerk;Westerkwartier
Oldelamer;Weststellingwerf
Oldemarkt;Steenwijkerland
Oldenzaal;Oldenzaal
Oldenzijl;HetHogeland
Oldeouwer;DeFryskeMarren
Oldetrijne;Weststellingwerf
Olst;Olst-Wijhe
Olterterp;Opsterland
Ommel;Asten
Ommen;Ommen
Ommeren;Buren
Onderdendam;HetHogeland
Onna;Steenwijkerland
Onnen;Groningen
Onstwedde;Stadskanaal
Ooij;BergenDal
Ooltgensplaat;Goeree-Overflakkee
Oost West en Middelbeers;Oirschot
Oostburg;Sluis
Oostdijk;Reimerswaal
Oosteind;Oosterhout
Oosterbeek;Renkum
Oosterbierum;Waadhoeke
Oosterblokker;Drechterland
Oosterend;Terschelling
Oosterend;Texel
Oosterhesselen;Coevorden
Oosterhout;Overbetuwe
Oosterhout;Oosterhout
Oosterland;Schouwen-Duiveland
Oosterleek;Drechterland
Oosternieland;HetHogeland
Oosternijkerk;Noardeast-Fryslân
Oosterstreek;Weststellingwerf
Oosterwijk;Vijfheerenlanden
Oosterwijtwerd;Loppersum
Oosterwolde;Ooststellingwerf
Oosterwolde Gld;Oldebroek
Oosterzee;DeFryskeMarren
Oost-Graftdijk;Alkmaar
Oosthem;Súdwest-Fryslân
Oosthuizen;Edam-Volendam
Oostkapelle;Veere
Oostknollendam;Wormerland
Oostrum;Venray
Oostrum;Noardeast-Fryslân
Oost-Souburg;Vlissingen
Oostvoorne;Westvoorne
Oostwold;Oldambt
Oostwold;Westerkwartier
Oostwoud;Medemblik
Oostzaan;Oostzaan
Ootmarsum;Dinkelland
Opeinde;Smallingerland
Opende;Westerkwartier
Ophemert;WestBetuwe
Opheusden;Neder-Betuwe
Opijnen;WestBetuwe
Oploo;SintAnthonis
Opmeer;Opmeer
Oppenhuizen;Súdwest-Fryslân
Opperdoes;Medemblik
Oranje;Midden-Drenthe
Oranjewoud;Heerenveen
Orvelte;Midden-Drenthe
Ospel;Nederweert
Oss;Oss
Ossendrecht;Woensdrecht
Ossenisse;Hulst
Ossenwaard;Vijfheerenlanden
Ossenzijl;Steenwijkerland
Oterleek;Alkmaar
Otterlo;Ede
Ottersum;Gennep
Ottoland;Molenlanden
Oud Ade;KaagenBraassem
Oud Annerveen;AaenHunze
Oud Gastel;Halderberge
Oud Ootmarsum;Dinkelland
Oud Zuilen;StichtseVecht
Oud-Alblas;Molenlanden
Oud-Beijerland;HoekscheWaard
Ouddorp;Goeree-Overflakkee
Oude Meer;Haarlemmermeer
Oude Niedorp;HollandsKroon
Oude Pekela;Pekela
Oude Wetering;KaagenBraassem
Oude Willem;Westerveld
Oudebildtzijl;Waadhoeke
Oudega;Smallingerland
Oudega;DeFryskeMarren
Oudega;Súdwest-Fryslân
Oudehaske;DeFryskeMarren
Oudehorne;Heerenveen
Oudelande;Borsele
Oudemirdum;DeFryskeMarren
Oudemolen;Moerdijk
Oudemolen;Tynaarlo
Oudenbosch;Halderberge
Oudendijk;Koggenland
Oudenhoorn;Hellevoetsluis
Ouderkerk aan de Amstel;Ouder-Amstel
Ouderkerk aan den IJssel;Krimpenerwaard
Oudeschans;Westerwolde
Oudeschild;Texel
Oudeschip;HetHogeland
Oudeschoot;Heerenveen
Oudesluis;Schagen
Oude-Tonge;Goeree-Overflakkee
Oudewater;Oudewater
Oudezijl;Oldambt
Oudheusden;Heusden
Oudkarspel;Schagen
Oudkarspel;Langedijk
Oudorp;Alkmaar
Oud-Vossemeer;Tholen
Oudwoude;Noardeast-Fryslân
Ouwerkerk;Schouwen-Duiveland
Ouwsterhaule;DeFryskeMarren
Ouwster-Nijega;DeFryskeMarren
Overasselt;Heumen
Overberg;UtrechtseHeuvelrug
Overdinkel;Losser
Overlangel;Oss
Overloon;Boxmeer
Overschild;Midden-Groningen
Overslag;Terneuzen
Overveen;Bloemendaal
Ovezande;Borsele
Paasloo;Steenwijkerland
Paesens;Noardeast-Fryslân
Pannerden;Zevenaar
Panningen;PeelenMaas
Papekop;Oudewater
Papendrecht;Papendrecht
Papenhoven;Sittard-Geleen
Papenvoort;AaenHunze
Parrega;Súdwest-Fryslân
Paterswolde;Tynaarlo
Peest;Noordenveld
Peins;Waadhoeke
Peize;Noordenveld
Peperga;Weststellingwerf
Pernis Rotterdam;Rotterdam
Persingen;BergenDal
Pesse;Westerveld
Pesse;Hoogeveen
Petten;Schagen
Philippine;Terneuzen
Piaam;Súdwest-Fryslân
Piershil;HoekscheWaard
Pieterburen;HetHogeland
Pietersbierum;Waadhoeke
Pieterzijl;Westerkwartier
Pijnacker;Pijnacker-Nootdorp
Pingjum;Súdwest-Fryslân
Plasmolen;MookenMiddelaar
Poederoijen;Zaltbommel
Poeldijk;Westland
De Pol;Steenwijkerland
Polsbroek;Lopik
Poortugaal;Albrandswaard
Poortvliet;Tholen
Poppenwier;Súdwest-Fryslân
Ten Post;Groningen
Posterholt;Roerdalen
Prinsenbeek;Breda
Puiflijk;Druten
De Punt;Tynaarlo
Punthorst;Staphorst
Purmer;Edam-Volendam
Purmer;Waterland
Purmerend;Purmerend
Purmerland;Landsmeer
Puth;Beekdaelen
Putte;Woensdrecht
Putten;Putten
Puttershoek;HoekscheWaard
Raalte;Raalte
Raamsdonk;Geertruidenberg
Raamsdonksveer;Geertruidenberg
Raard;Noardeast-Fryslân
Radewijk;Hardenberg
Radio Kootwijk;Apeldoorn
Raerd;Súdwest-Fryslân
Randwijk;Overbetuwe
Ransdaal;Voerendaal
Rasquert;HetHogeland
Ravenstein;Oss
Ravenswaaij;Buren
Ravenswoud;Ooststellingwerf
Readtsjerk;Dantumadiel
Reahûs;Súdwest-Fryslân
Reduzum;Leeuwarden
Reek;Landerd
Reeuwijk;Bodegraven-Reeuwijk
Reijmerstok;Gulpen-Wittem
Reitsum;Noardeast-Fryslân
Rekken;Berkelland
Renesse;Schouwen-Duiveland
Renkum;Renkum
Renswoude;Renswoude
Ressen;Lingewaard
Retranchement;Sluis
Reusel;Reusel-DeMierden
Reutum;Tubbergen
Reuver;Beesel
Rha;Bronckhorst
Rheden;Rheden
Rhee;Assen
Rheeze;Hardenberg
Rheezerveen;Hardenberg
Rhenen;Rhenen
Rhenoy;WestBetuwe
Rhoon;Albrandswaard
Ridderkerk;Ridderkerk
Ried;Waadhoeke
Riel;Goirle
Rien;Súdwest-Fryslân
Riethoven;Bergeijk
Rietmolen;Berkelland
Rijen;GilzeenRijen
Rijkevoort;Boxmeer
Rijkevoort-De Walsert;SintAnthonis
Rijnsaterwoude;KaagenBraassem
Rijnsburg;Katwijk
De Rijp;Alkmaar
Rijpwetering;KaagenBraassem
Rijs;DeFryskeMarren
Rijsbergen;Zundert
Rijsenhout;Haarlemmermeer
Rijssen;Rijssen-Holten
Rijswijk;Rijswijk
Rijswijk (GLD);Buren
Rijswijk (NB);Altena
Rilland;Reimerswaal
Rinsumageast;Dantumadiel
De Rips;Gemert-Bakel
Ritthem;Vlissingen
Rockanje;Westvoorne
Roden;Noordenveld
Roderesch;Noordenveld
Roderwolde;Noordenveld
Roelofarendsveen;KaagenBraassem
Roermond;Roermond
Rogat;Meppel
Roggel;Leudal
Rohel;DeFryskeMarren
Rolde;AaenHunze
Roodeschool;HetHogeland
Roosendaal;Roosendaal
Roosteren;Echt-Susteren
Rosmalen;'s-Hertogenbosch
Rossum;Dinkelland
Rossum;Maasdriel
Roswinkel;Emmen
Rotstergaast;DeFryskeMarren
Rotsterhaule;DeFryskeMarren
Rotterdam;Rotterdam
Rotterdam-Albrandswaard;Albrandswaard
Rottevalle;Smallingerland
Rottum;HetHogeland
Rottum;DeFryskeMarren
Rouveen;Staphorst
Rozenburg;Rotterdam
Rozenburg;Haarlemmermeer
Rozendaal;Rozendaal
Rucphen;Rucphen
Ruigahuizen;DeFryskeMarren
Ruinen;Westerveld
Ruinen;DeWolden
Ruinerwold;DeWolden
Rumpt;WestBetuwe
Rutten;Noordoostpolder
Ruurlo;Berkelland
Ryptsjerk;Tytsjerksteradiel
Saaksum;Westerkwartier
Saasveld;Dinkelland
Saaxumhuizen;HetHogeland
Sambeek;Boxmeer
Sandfirden;Súdwest-Fryslân
Santpoort-Noord;Velsen
Santpoort-Zuid;Velsen
Sappemeer;Midden-Groningen
Sas van Gent;Terneuzen
Sassenheim;Teylingen
Sauwerd;HetHogeland
Schagen;Schagen
Schagerbrug;Schagen
Schaijk;Landerd
Schalkhaar;Deventer
Schalkwijk;Houten
Schalsum;Waadhoeke
Schardam;Edam-Volendam
Scharendijke;Schouwen-Duiveland
Scharmer;Midden-Groningen
Scharnegoutum;Súdwest-Fryslân
Scharsterbrug;DeFryskeMarren
Scharwoude;Koggenland
Scheemda;Oldambt
Scheerwolde;Steenwijkerland
Schellinkhout;Drechterland
Schelluinen;Molenlanden
Schermerhorn;Alkmaar
Scherpenisse;Tholen
Scherpenzeel;Weststellingwerf
Scherpenzeel;Scherpenzeel
Schettens;Súdwest-Fryslân
Scheulder;Eijsden-Margraten
Schiedam;Schiedam
Schiermonnikoog;Schiermonnikoog
Schijf;Rucphen
Schijndel;Meierijstad
Schildwolde;Midden-Groningen
Schimmert;Beekdaelen
Schin op Geul;ValkenburgaandeGeul
Schinnen;Beekdaelen
Schinveld;Beekdaelen
Schipborg;AaenHunze
Schiphol;Haarlemmermeer
Schiphol-Rijk;Haarlemmermeer
De Schiphorst;Meppel
Schipluiden;Midden-Delfland
Schokland;Noordoostpolder
Schoondijke;Sluis
Schoonebeek;Emmen
Schoonhoven;Krimpenerwaard
Schoonloo;AaenHunze
Schoonoord;Coevorden
Schoonrewoerd;Vijfheerenlanden
Schoorl;Bergen(NH.)
Schore;Kapelle
Schouwerzijl;HetHogeland
Schraard;Súdwest-Fryslân
Schuinesloot;Hardenberg
Sebaldeburen;Westerkwartier
Sellingen;Westerwolde
Serooskerke;Schouwen-Duiveland
Serooskerke;Veere
Sevenum;HorstaandeMaas
Sexbierum;Waadhoeke
Sibculo;Twenterand
Sibculo;Hardenberg
Sibrandabuorren;Súdwest-Fryslân
Sibrandahûs;Dantumadiel
Siddeburen;Midden-Groningen
Siebengewald;Bergen(L.)
Siegerswoude;Opsterland
Sijbekarspel;Medemblik
Silvolde;OudeIJsselstreek
Simonshaven;Nissewaard
Simpelveld;Simpelveld
Sinderen;OudeIJsselstreek
Sint Agatha;Cuijk
Sint Annen;Groningen
Sint Anthonis;SintAnthonis
Sint Geertruid;Eijsden-Margraten
Sint Hubert;MillenSintHubert
Sint Jansklooster;Steenwijkerland
Sint Jansteen;Hulst
Sint Joost;Echt-Susteren
Sint Kruis;Sluis
Sint Maarten;Schagen
Sint Maartensbrug;Schagen
Sint Maartensvlotbrug;Schagen
Sint Nicolaasga;DeFryskeMarren
Sint Odiliënberg;Roerdalen
Sint Pancras;Langedijk
Sint Philipsland;Tholen
St. Willebrord;Rucphen
Sint-Annaland;Tholen
St.-Annaparochie;Waadhoeke
St.-Jacobiparochie;Waadhoeke
Sintjohannesga;DeFryskeMarren
Sint-Maartensdijk;Tholen
Sint-Michielsgestel;Sint-Michielsgestel
Sint-Oedenrode;Meierijstad
Sirjansland;Schouwen-Duiveland
Sittard;Sittard-Geleen
Skingen;Waadhoeke
Slagharen;Hardenberg
Slappeterp;Waadhoeke
Sleen;Coevorden
Sleeuwijk;Altena
Slenaken;Gulpen-Wittem
Sliedrecht;Sliedrecht
Slijkenburg;Weststellingwerf
Slijk-Ewijk;Overbetuwe
Slochteren;Midden-Groningen
Slootdorp;HollandsKroon
Sloten;DeFryskeMarren
Sluis;Sluis
Sluiskil;Terneuzen
Smakt;Venray
Smalle Ee;Smallingerland
Smallebrugge;Súdwest-Fryslân
Smilde;Midden-Drenthe
Snakkerburen;Leeuwarden
Sneek;Súdwest-Fryslân
Snelrewaard;Oudewater
Snikzwaag;DeFryskeMarren
Soerendonk;Cranendonck
Soest;Soest
Soesterberg;Soest
Someren;Someren
Sommelsdijk;Goeree-Overflakkee
Son en Breugel;SonenBreugel
Sondel;DeFryskeMarren
Sonnega;Weststellingwerf
Spaarndam;Haarlemmermeer
Spaarndam gem. Haarlem;Haarlem
Spanbroek;Opmeer
Spanga;Weststellingwerf
Spankeren;Rheden
